"stock_code","description","total_quantity_sold","total_revenue"
"84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS",105185,24098.03
"85099B","JUMBO BAG RED WHITE SPOTTY ",93436,167920.64
"85123A","WHITE HANGING HEART T-LIGHT HOLDER",91814,247203.36
"21212","PACK OF 72 RETRO SPOT CAKE CASES",89850,43390.03
"23843","PAPER CRAFT , LITTLE BIRDIE",80995,168469.60
"84879","ASSORTED COLOUR BIRD ORNAMENT",78234,124351.86
"23166","MEDIUM CERAMIC TOP STORAGE JAR",77916,81416.73
"22197","POPCORN HOLDER , SMALL ",76944,58267.74
"17003","BROCADE RING PURSE ",70082,14640.96
"21977","PACK OF 60 PINK PAISLEY CAKE CASES",54592,26407.35
"84991","60 TEATIME FAIRY CAKE CASES",52828,25785.92
"22492","MINI PAINT SET VINTAGE ",42695,26614.79
"15036","ASSORTED COLOURS SILK FAN",40994,28766.32
"84755","COLOUR GLASS T-LIGHT HOLDER HANGING",39259,23598.51
"21213","PACK OF 72 SKULL CAKE CASES",38530,18319.18
"20725","LUNCH BAG RED SPOTTY",37750,59375.10
"22386","JUMBO BAG PINK WITH WHITE SPOTS",37338,67769.76
"22178","VICTORIAN GLASS HANGING T-LIGHT",37285,45746.75
"22616","PACK OF 12 LONDON TISSUES ",37084,10519.36
"85099F","JUMBO BAG STRAWBERRY",35842,64127.77
